ZDC.BE,ZODIAC AEROSPACE,BER,Aerospace/Defense - Major Diversified
QQ.L,QinetiQ Group Plc,LSE,Aerospace/Defense - Major Diversified
S51.SI,Sembcorp Marine Ltd,SES,Aerospace/Defense - Major Diversified
EMRI,EMRISE Corporation,PNK,Aerospace/Defense - Major Diversified
EAC,Erickson Incorporated,NGM,Aerospace/Defense - Major Diversified
SDZ.V,Security Devices International Inc.,VAN,Aerospace/Defense - Major Diversified
QHL.AX,Quickstep Holdings Limited,ASX,Aerospace/Defense - Major Diversified
TIK,Tel-Instrument Electronics Corp.,ASE,Aerospace/Defense - Major Diversified
B8O.F,YANGZIJIANG SHIPBLD,FRA,Aerospace/Defense - Major Diversified
SDSS,Suspect Detection Systems Inc.,PNK,Aerospace/Defense - Major Diversified
ZDC.F,ZODIAC AEROSPACE,FRA,Aerospace/Defense - Major Diversified
GDX.DU,GENL DYNAMICS CORP,DUS,Aerospace/Defense - Major Diversified
LAT.PA,"Lat̩co̬re S.A.
",PAR,Aerospace/Defense - Major Diversified
A04.SI,ASL Marine Holdings Ltd.,SES,Aerospace/Defense - Major Diversified
S63.SI,Singapore Technologies Engineering Ltd,SES,Aerospace/Defense - Major Diversified
SAF.PA,Safran SA,PAR,Aerospace/Defense - Major Diversified
MGGT.L,Meggitt PLC,LSE,Aerospace/Defense - Major Diversified
SNR.L,Senior plc,LSE,Aerospace/Defense - Major Diversified
ZDC.DU,ZODIAC AEROSPACE,DUS,Aerospace/Defense - Major Diversified
TXT,Textron Inc.,NYQ,Aerospace/Defense - Major Diversified
BBD-B.TO,Bombardier Inc.,TOR,Aerospace/Defense - Major Diversified
GY,GenCorp Inc.,NYQ,Aerospace/Defense - Major Diversified
SWS.BE,SMITH & WESSON HLDG,BER,Aerospace/Defense - Major Diversified
HXL.PA,Hexcel Corp.,PAR,Aerospace/Defense - Major Diversified
ZDC.MU,ZODIAC AEROSPACE,MUN,Aerospace/Defense - Major Diversified
MICT,"Micronet Enertec Technologies, Inc.",NCM,Aerospace/Defense - Major Diversified
FTG.TO,Firan Technology Group Corporation,TOR,Aerospace/Defense - Major Diversified
BS6.SI,Yangzijiang Shipbuilding (Holdings) Ltd.,SES,Aerospace/Defense - Major Diversified
ERJ,Embraer SA,NYQ,Aerospace/Defense Products & Services
TPAC,"Trans-Pacific Aerospace Company, Inc.",PNK,Aerospace/Defense Products & Services
COL,Rockwell Collins Inc.,NYQ,Aerospace/Defense Products & Services
TGI,"Triumph Group, Inc.",NYQ,Aerospace/Defense Products & Services
DCO,Ducommun Inc.,NYQ,Aerospace/Defense Products & Services
UTX,United Technologies Corporation,NYQ,Aerospace/Defense Products & Services
ESL,Esterline Technologies Corp.,NYQ,Aerospace/Defense Products & Services
TATT,"TAT Technologies, Ltd.",NGM,Aerospace/Defense Products & Services
CVU,CPI Aerostructures Inc.,ASE,Aerospace/Defense Products & Services
MLER,Moller International Inc.,PNK,Aerospace/Defense Products & Services
AIR,AAR Corp.,NYQ,Aerospace/Defense Products & Services
BEAV,B/E Aerospace Inc.,NMS,Aerospace/Defense Products & Services
HII,"Huntington Ingalls Industries, Inc.",NYQ,Aerospace/Defense Products & Services
SPR,"Spirit AeroSystems Holdings, Inc.",NYQ,Aerospace/Defense Products & Services
XLS,Exelis Inc.,NYQ,Aerospace/Defense Products & Services
TASR,TASER International Inc.,NMS,Aerospace/Defense Products & Services
PIVN,"Phoenix International Ventures, Inc.",PNK,Aerospace/Defense Products & Services
AIRI,Air Industries Group,ASE,Aerospace/Defense Products & Services
LMIA,LMI Aerospace Inc.,NMS,Aerospace/Defense Products & Services
AVAV,"AeroVironment, Inc.",NMS,Aerospace/Defense Products & Services
RGR,"Sturm, Ruger & Co. Inc.",NYQ,Aerospace/Defense Products & Services
HEI,HEICO Corporation,NYQ,Aerospace/Defense Products & Services
SWHC,Smith & Wesson Holding Corporation,NMS,Aerospace/Defense Products & Services
ATK,Alliant Techsystems Inc.,NYQ,Aerospace/Defense Products & Services
GR.V,Great Atlantic Resources Corp.,VAN,Aerospace/Defense Products & Services
DGI,"DigitalGlobe, Inc.",NYQ,Aerospace/Defense Products & Services
OKRG,Oakridge Holdings Inc.,PNK,Aerospace/Defense Products & Services
GD,General Dynamics Corporation,NYQ,Aerospace/Defense Products & Services
BUKS,Butler National Corporation,PNK,Aerospace/Defense Products & Services
BZC,Breeze-Eastern Corporation,ASE,Aerospace/Defense Products & Services
ORB,Orbital Sciences Corp.,NYQ,Aerospace/Defense Products & Services
WWD,"Woodward, Inc.",NMS,Aerospace/Defense Products & Services
BEA.V,Belmont Resources Inc.,VAN,Aerospace/Defense Products & Services
ATRO,Astronics Corporation,NMS,Aerospace/Defense Products & Services
ISSC,Innovative Solutions & Support Inc.,NMS,Aerospace/Defense Products & Services
CAE,CAE Inc.,NYQ,Aerospace/Defense Products & Services
ASTC,Astrotech Corp.,NCM,Aerospace/Defense Products & Services
BA,The Boeing Company,NYQ,Aerospace/Defense Products & Services
TDG,TransDigm Group Incorporated,NYQ,Aerospace/Defense Products & Services
ACFN,"Acorn Energy, Inc.",NGM,Aerospace/Defense Products & Services
MOG-A,Moog Inc.,NYQ,Aerospace/Defense Products & Services
HEI-A,HEICO Corporation,NYQ,Aerospace/Defense Products & Services
LMT,Lockheed Martin Corporation,NYQ,Aerospace/Defense Products & Services
HXL,Hexcel Corp.,NYQ,Aerospace/Defense Products & Services
RTN,Raytheon Company,NYQ,Aerospace/Defense Products & Services
KAMN,Kaman Corporation,NYQ,Aerospace/Defense Products & Services
LLL,L-3 Communications Holdings Inc.,NYQ,Aerospace/Defense Products & Services
NPK,National Presto Industries Inc.,NYQ,Aerospace/Defense Products & Services
CERE,"Ceres, Inc.",NCM,Agricultural Chemicals
MAA.TO,MagIndustries Corp.,TOR,Agricultural Chemicals
MOS,The Mosaic Company,NYQ,Agricultural Chemicals
MBII,"Marrone Bio Innovations, Inc.",NGM,Agricultural Chemicals
SMG,The Scotts Miracle-Gro Company,NYQ,Agricultural Chemicals
